"";"data_mes";"indice_bf_receita_BR";"indice_bf_volume_BR";"indice_bf_receita_ES";"indice_bf_volume_ES";"indice_bf_sa_receita_BR";"indice_bf_sa_volume_BR";"indice_bf_sa_receita_ES";"indice_bf_sa_volume_ES"
"1";2011-01-01;71,3;83,8;75,9;90,1;75,4;88,5;79;94,7
"2";2011-02-01;71,3;83,3;74,5;88,2;76,2;88,7;79,5;94,3
"3";2011-03-01;76,2;87,5;80,4;93,7;76,5;88,5;80,7;95,6
"4";2011-04-01;75,5;86,7;80,7;94,1;77,5;89;82,5;95,9
"5";2011-05-01;78,1;89,8;82,4;96;78,4;89,6;82,4;95,5
"6";2011-06-01;78;89;83,8;96,7;79,1;89,8;85,4;99
"7";2011-07-01;79,9;90,7;86,3;99,3;80;90,5;86,4;99,3
"8";2011-08-01;81,7;92,8;89;102,6;80,5;90,9;87;99,4
"9";2011-09-01;81,2;91,2;87,3;99,6;80,7;90,4;87;99,1
"10";2011-10-01;81,5;90,9;88,1;99,7;81;89,9;88,1;99,2
"11";2011-11-01;83,5;92,6;90,7;102,1;81,9;91;89;99,3
"12";2011-12-01;90,4;99,9;99,1;111,3;82,1;92,2;90,8;102,1
"13";2012-01-01;80,3;87,6;89,5;97,7;83,3;91,5;91,3;101
"14";2012-02-01;79;86,1;86,5;94,2;84,6;90,8;90;99,2
"15";2012-03-01;85,8;93,6;90,3;98,5;85,1;92,6;90,6;99,2
"16";2012-04-01;82,4;89,3;87,7;95,1;85,1;92,2;90,4;98,4
"17";2012-05-01;86,3;94;92;100,6;86,2;93,2;92;99,7
"18";2012-06-01;85,2;92,4;90,7;99;86,2;93,4;92,1;100,7
"19";2012-07-01;87,5;93,7;93,6;100,3;87,1;93,4;92,3;99,3
"20";2012-08-01;89,6;96,6;93,7;101,9;88,6;94,5;93;100,4
"21";2012-09-01;87,2;93,7;90,4;97,8;88,2;94,1;92,3;98,5
"22";2012-10-01;91,1;97,5;94,8;102,8;88,7;95;92,9;100,2
"23";2012-11-01;90,8;96,4;95,4;102,7;89,3;94,7;92,6;99,9
"24";2012-12-01;98,3;103,3;100,1;106,8;90,9;96,6;93,3;99,6
"25";2013-01-01;88,2;92;91,3;96,7;90,7;95,3;92,9;99,2
"26";2013-02-01;84,6;88,1;89,8;94,6;91,3;96,3;95,2;102
"27";2013-03-01;91,1;95,3;94,1;100,1;91,3;95,6;96;101,6
"28";2013-04-01;92;96,4;97,5;103,9;93;97,6;97,7;104,8
"29";2013-05-01;92,9;97,3;97,9;104,4;93,2;97;99,3;105,8
"30";2013-06-01;92,6;96,2;95,1;100;94,5;97,7;98,7;102,9
"31";2013-07-01;95,4;98,7;104,8;110,1;94,4;97,9;104;109,3
"32";2013-08-01;95,5;98,7;99,3;104,1;95,1;97,1;98;102,3
"33";2013-09-01;95,6;98,3;97,5;101,8;96,1;98,4;98,4;102,3
"34";2013-10-01;99,1;101,6;100,1;103,9;96,7;98,6;97,9;100,9
"35";2013-11-01;98,8;100,6;99,8;102,8;97,7;99,3;97,5;99,8
"36";2013-12-01;106,4;106,9;103,5;105,6;97,7;99,2;94,5;96,9
"37";2014-01-01;96,3;97,1;95,9;97,9;98,8;100,5;98,5;101,4
"38";2014-02-01;93,1;94,2;95,5;96,6;98,4;100,3;101;102,8
"39";2014-03-01;97,3;98;96,8;97,5;98,9;100,4;98;100,5
"40";2014-04-01;97,7;98;99,8;100,1;99,3;100,1;102,1;101,5
"41";2014-05-01;99;100;98,4;99,2;99,6;99,8;99;99
"42";2014-06-01;98;97,7;92;91,3;99,8;99,4;95,1;95,1
"43";2014-07-01;99,8;100,8;98,1;98,8;98,8;99,7;97,9;98,3
"44";2014-08-01;99,8;100,2;98,7;99,1;99,8;99,1;99,7;99,2
"45";2014-09-01;101,8;101,4;103,6;103,1;101,2;100,5;101,3;100,6
"46";2014-10-01;104,3;103,6;104,7;104;101,9;100,6;103,9;102,6
"47";2014-11-01;102,4;101,6;105,1;104,1;102,5;101,1;104,3;102,4
"48";2014-12-01;110,6;107,5;111,4;108,3;101;99,2;101,4;98,7
"49";2015-01-01;98;94;100;94,4;101,1;97,7;101;95,9
"50";2015-02-01;93,9;90,6;93,1;88,5;101;99,3;98,1;95,2
"51";2015-03-01;103,2;100,2;101,2;97,3;102,2;99,1;99,9;96,7
"52";2015-04-01;99,3;95,2;95;90,6;101,7;97,8;98,6;94,1
"53";2015-05-01;100,1;96,9;94,3;91,2;101,2;97,2;97,1;92,5
"54";2015-06-01;100;95,5;95,6;91,6;100,7;96,2;96,3;93,1
"55";2015-07-01;101,9;96,5;95,3;91,3;100,8;95,4;96,6;92,3
"56";2015-08-01;100,8;96,6;102,8;98,7;101,3;96,2;104;99,6
"57";2015-09-01;101,7;96,5;100,2;96,1;101;95,3;99,7;94,5
"58";2015-10-01;103,8;97,6;98,6;93,6;102;95,4;97;91,6
"59";2015-11-01;101,5;95,1;100,4;94,6;101,1;94,5;99,1;93,2
"60";2015-12-01;110,9;102,1;106,1;98,6;101;93,8;96;89,3
"61";2016-01-01;97,9;89,3;91,7;83,9;101,6;93,3;93,4;85,4
"62";2016-02-01;95,8;87,1;96,8;87,9;102,3;92,5;98;91,4
"63";2016-03-01;102,8;94,3;95,1;88,3;102,1;93,8;93,5;86,9
"64";2016-04-01;99,5;90,6;90,2;83,7;101,3;92,3;93,3;86,8
"65";2016-05-01;99,4;91;91,7;85,8;100,9;92,2;92,9;87,9
"66";2016-06-01;100,6;92,3;91;84,8;101;91,6;94,7;86,7
"67";2016-07-01;102,1;92,2;92,1;85,1;101,8;91,9;94,3;86,3
"68";2016-08-01;103;92,8;93,4;85;101,6;91,1;92,6;84,1
"69";2016-09-01;101,5;91,8;94,2;86,4;101;90,7;93,3;85,5
"70";2016-10-01;100,6;90,2;93,3;85,6;99,8;89,3;93,6;85,4
"71";2016-11-01;101,6;90,7;93,7;85,8;99,9;89;91,8;83,2
"72";2016-12-01;109,3;96,3;103,5;93,8;99,5;88,7;93,3;84,9
"73";2017-01-01;99,9;86,2;102;87,6;103,3;89,8;100,5;86,9
"74";2017-02-01;96;82,4;92,5;79,2;103,7;90,7;97,4;85,2
"75";2017-03-01;103,5;89,4;100,3;86,5;102,5;88,2;99,8;86,8
"76";2017-04-01;99;85,4;93;81,1;102,7;88,9;98,8;85,6
"77";2017-05-01;103,3;89,3;97,6;85,8;103,1;88,9;99,4;86,4
"78";2017-06-01;103,9;89,5;100,8;87,7;104,8;89,4;103,5;90,6
"79";2017-07-01;104,1;89,2;95,4;82,7;104,2;89,4;97,4;83,9
"80";2017-08-01;104,9;90,5;97,7;85,3;103,6;88,6;96,3;83,9
"81";2017-09-01;103,9;88,9;95,5;83,1;103,7;88,3;95,7;82,6
"82";2017-10-01;105,6;89,8;97;83,8;103,7;88,1;95,2;82,1
"83";2017-11-01;105,9;90,1;98,3;85,6;104,7;88,6;97,9;84,8
"84";2017-12-01;114,9;96,8;110;95,1;105;89,3;100,5;86,8
"85";2018-01-01;100,9;84,9;101,1;86,9;103,8;88;98,5;85,1
"86";2018-02-01;96,2;80,5;93,5;79,6;104,1;88,7;98,5;85,5
"87";2018-03-01;105,3;88,6;100,1;85,6;105,9;89,3;98,8;84,7
"88";2018-04-01;103,7;87,2;104,1;89,7;106,6;89,8;110,8;96,2
"89";2018-05-01;101,1;85,9;95,5;81,5;101;85,4;97,6;82,4
"90";2018-06-01;106,9;90,4;94,9;81,3;108,2;90,6;98,6;84,3
"91";2018-07-01;108,2;89,1;103,5;85,5;107,1;88,5;103,4;85,2
"92";2018-08-01;110;92;99,7;83,2;108,7;90,2;99;82,3
"93";2018-09-01;107,2;89,3;98,2;82,1;108,2;89,4;100,3;82,9
"94";2018-10-01;110,1;91,2;100,9;83,4;107,5;89;98,7;81,4
"95";2018-11-01;110;90,9;100;82,8;107,9;88,9;98,2;81,4
"96";2018-12-01;119;97,2;111,5;90,8;109,3;90;101,2;82,8
"97";2019-01-01;106,4;86,6;106,7;86,3;109,7;89,5;103;83,8
"98";2019-02-01;102,4;83,6;96,7;78,6;108,9;89,7;101,8;83,1
"99";2019-03-01;106,5;86,5;101,5;82,3;108,9;89,4;102,6;84,1
"100";2019-04-01;107,2;86,6;101,5;82,2;109,7;89,6;106;85,9
"101";2019-05-01;110,4;90;103,5;84,8;110,3;89,6;107,7;87,6
"102";2019-06-01;107,5;87,2;100,5;81,7;109,8;88;106,7;86,1
"103";2019-07-01;113,4;90,7;107,8;87,4;111,6;89,6;107,5;86,8
"104";2019-08-01;112,6;90,8;109,9;89,7;111,8;89,5;107,3;87,3
"105";2019-09-01;112,5;90,7;103,3;84,2;113;90,5;104,6;85
"106";2019-10-01;116,8;93,7;109,3;88,9;114,1;91,1;106,2;86,2
"107";2019-11-01;115,6;92,6;104,9;85,1;113,5;90,8;104;83,9
"108";2019-12-01;124,2;98,7;114;91,5;113,1;90,4;101,2;82
"109";2020-01-01;110,8;88;104;83,3;114,2;91,1;101,1;81,9
"110";2020-02-01;106,1;84,1;97,2;78,1;113,8;89,8;99,2;80,6
"111";2020-03-01;105,2;84,1;97,6;79,9;106;84,6;97,2;79,6
"112";2020-04-01;89;71,6;86,1;70,6;92,4;74,3;93,3;76,1
"113";2020-05-01;89,9;72,6;88,5;73,2;90,8;73,1;93,3;76,4
"114";2020-06-01;94,3;76,5;87,4;71,8;95;76,4;89,6;73,8
"115";2020-07-01;98,8;79,9;91,7;75,2;97,1;78,8;92,4;75,6
"116";2020-08-01;100,9;81,7;97,4;80,1;101,1;81,4;96,3;78,7
"117";2020-09-01;104,4;84,4;100,1;82;103,7;83,2;100;81
"118";2020-10-01;108,8;86,8;102,3;82,5;106,4;84,7;99,2;80,1
"119";2020-11-01;110,5;88;99,7;80,3;108,8;86,6;99,5;80,2
"120";2020-12-01;121,5;95,6;114,2;90,5;109,9;86,8;101,2;80,8
"121";2021-01-01;105,2;83,6;103,8;83,1;109,7;87,4;101,7;82,1
"122";2021-02-01;104,5;82,6;98,2;78,4;112,6;90,9;103,5;83,7
"123";2021-03-01;111,6;87,9;101,8;81,2;112,1;88,2;101,8;80,6
"124";2021-04-01;109,3;86;99,5;79,3;112,4;89;106,7;85,1
"125";2021-05-01;112,9;89,5;103,7;82,2;114,4;90,7;109,5;86,3
"126";2021-06-01;116,5;92,7;107,6;85,2;117,1;92,3;112,6;88,5
"127";2021-07-01;120,1;94,1;116;90,7;118,8;93,3;115,6;90,5
